Title,Date,Link
"For financial companies, 2007 was a topsy turvy year","Jan. 1, 2008",https://www.nytimes.com/2008/01/01/business/worldbusiness/01iht-markets.4.8979476.html?searchResultPosition=1
"U.S. stocks slip, ending year of turmoil","Jan. 1, 2008",https://www.nytimes.com/2008/01/01/business/worldbusiness/01iht-01stox1.8967825.html?searchResultPosition=2
"Stocks slip, ending year of turmoil","Jan. 1, 2008",https://www.nytimes.com/2008/01/01/business/worldbusiness/01iht-01socks.8975009.html?searchResultPosition=3
"Fund frozen, Florida towns feel the pinch","Jan. 1, 2008",https://www.nytimes.com/2008/01/01/business/worldbusiness/01iht-fund.4.8977712.html?searchResultPosition=4
"Stocks Slip, Ending Year of Turmoil","Jan. 1, 2008",https://www.nytimes.com/2008/01/01/business/01stox-1.html?searchResultPosition=5
Investment in clean energy topped $100 billion for first time in 2007,"Jan. 2, 2008",https://www.nytimes.com/2008/01/02/business/worldbusiness/02iht-energy.4.8994691.html?searchResultPosition=6
A Wall Street reversal as brokers suffer while investors gain,"Jan. 2, 2008",https://www.nytimes.com/2008/01/02/business/worldbusiness/02iht-markets.1.8983551.html?searchResultPosition=7
"2007 Was Unpredictable, but Let’s Brave 2008 Anyway","Jan. 2, 2008",https://www.nytimes.com/2008/01/02/business/02predict.html?searchResultPosition=8
"Customers, Not Brokers, Profited in an Odd 2007","Jan. 2, 2008",https://www.nytimes.com/2008/01/02/business/02cnd-markets.html?searchResultPosition=9
"Customers, Not Brokers, Profited in an Odd 2007","Jan. 2, 2008",https://www.nytimes.com/2008/01/02/business/02markets.html?searchResultPosition=10
Educated guesses: A look at 2008,"Jan. 2, 2008",https://www.nytimes.com/2008/01/02/business/worldbusiness/02iht-predict.1.8984632.html?searchResultPosition=11
In the Land of Many Ifs,"Jan. 2, 2008",https://www.nytimes.com/2008/01/02/business/02econ.html?searchResultPosition=12
Fund Manager Faces Legal Siege Over Investments,"Jan. 3, 2008",https://www.nytimes.com/2008/01/03/business/03cnd-state.html?searchResultPosition=13
Mortgage crisis inquiry reviews whether data on loans was withheld,"Jan. 3, 2008",https://www.nytimes.com/2008/01/13/business/worldbusiness/13iht-mortgage.1.9170018.html?searchResultPosition=14
Clean Energy Investments Top $100 Billion,"Jan. 3, 2008",https://www.nytimes.comhttps://dealbook.nytimes.com/2008/01/03/clean-energy-investments-break-100-million-barrier/?searchResultPosition=15
State Street Corp. Is Sued Over Pension Fund Losses,"Jan. 4, 2008",https://www.nytimes.com/2008/01/04/business/04state.html?searchResultPosition=16
"U.S. job growth slows, sending stocks lower","Jan. 4, 2008",https://www.nytimes.com/2008/01/04/business/worldbusiness/04iht-usecon.3.9023194.html?searchResultPosition=17
Rate shift signals growing gap between U.S. and China economies,"Jan. 4, 2008",https://www.nytimes.com/2008/01/04/business/worldbusiness/04iht-04rates.9020196.html?searchResultPosition=18
Spin and denial survive the global credit crunch,"Jan. 4, 2008",https://www.nytimes.com/2008/01/04/business/worldbusiness/04iht-wbdance.1.9021958.html?searchResultPosition=19
Inside the Markets: History isn't much help for  predicting,"Jan. 4, 2008",https://www.nytimes.com/2008/01/14/business/worldbusiness/14iht-rtrcol15.4.9200855.html?searchResultPosition=20
Credit Agricole to sell 2 percent of Suez,"Jan. 4, 2008",https://www.nytimes.com/2008/01/14/business/worldbusiness/14iht-ca.4.9213308.html?searchResultPosition=21
"As State Street Faces Suit Over Losses, Will Others Follow?","Jan. 4, 2008",https://www.nytimes.comhttps://dealbook.nytimes.com/2008/01/04/as-state-street-faces-suit-over-losses-will-others-follow/?searchResultPosition=22
Merrill Lynch seeking capital infusion in Japan,"Jan. 5, 2008",https://www.nytimes.com/2008/01/15/business/worldbusiness/15iht-merrill.9221213.html?searchResultPosition=23
India's biggest IPO raises $3 billion in a minute for Reliance Power,"Jan. 5, 2008",https://www.nytimes.com/2008/01/15/business/worldbusiness/15iht-ipo.1.9223622.html?searchResultPosition=24
