,0
0,"WASHINGTON —Could the housing market's problems in the United States spread to bonds held in mutual funds by millions of ordinary investors?Some experts - and hedge fund investors who have made big bets that the mortgage crisis will worsen - are saying that this is exactly what will happen. Some bond funds that invest in riskier short-term debt have already been hit by soaring default rates on bonds backed by subprime loans made to borrowers with weak credit.Critics accuse Standard & Poor's, Moody's Investors Service and Fitch Ratings, of routinely giving triple-A ratings, which is the safest possible rating, to far too many mortgage-backed bonds backed by subprime home loans.""The rating agencies just completely missed the boat in their methodology for rating these things,"" said Janet Tavakoli, president of Tavakoli Structured Finance, a Chicago consulting firm.About 80 percent of debt in bonds backed by subprime loans is rated triple-A, the same rating on virtually risk-free U.S. Treasury bonds, experts say.If that seems shocking, there are bonds backed by delinquent credit card accounts, one of the riskiest forms of debt, in which up to 40 percent of the accounts in the security are rated triple-A, said Joseph Mason, a finance professor at Drexel University, in Philadelphia.The U.S. Securities and Exchange Commission said Friday that it had started a review of what the three agencies' ratings mean and whether conflicts of interest were created if they gave advice to sellers of mortgage debt. Credit rating agencies say their role is to rate the creditworthiness of securities, not advise buyers or sellers of bonds.Congress has also pledged to hold hearings on the role the ratings agencies played in the subprime mortgage crisis that has led to Wall Street sell-offs and dampened consumer spending.The rating agencies defend their methodology and say that the problems of the mortgage-backed market, worth $10.4 trillion, are being exaggerated.S&P, which is owned by the McGraw-Hill, says it has had to downgrade only about 1 percent of the subprime mortgage debt the agency has rated in recent years, the overwhelming majority of the downgrades in the lowest-rated debt.Over the past 30 years, the average five-year default rate for investment-grade mortgage-backed bonds is less than 1 percent, said Chris Atkins, an S&P spokesman. ""Our long-term track record of assessing credit quality of bonds is exceptionally strong,"" he said.At Moody's, the amount of downgraded bonds is small compared with the total amount issued and has been focused on lower-rated securities, said Claire Robinson, a senior managing director. The downgraded bonds ""are riskier securities that are more prone to downgrade in a stressful environment,"" she added.Still, Richard Green, a finance professor at George Washington University, said he was mystified that risky home loans became bundled into triple-A-rated investments.""The problem is some of these mortgages were just phenomenally bad,"" he said. ""There was sort of an assumption that house prices would never fall. We now see some markets where they are falling quite a lot.""As home prices keep falling, rates that reset to higher levels on many loans could spark more defaults in the coming months.""Nobody was looking at the fundamentals,"" said Christopher Thornberg, a principal with Beacon Economics in Los Angeles. ""This was a brave new world.""Agencies that rated the bonds the investment banks were selling to investors ignored signs that borrowers were becoming too leveraged, he said, instead choosing to focus on borrowers credit scores.Bond funds typically diversify their investments to protect investors against losses in any one type of bond. The most risk-averse funds invest solely in U.S. Treasury bonds, while others buy corporate debt and mortgage-backed bonds that may have triple-A ratings but carry more risk than that of the government.Huge losses ""won't be the norm"" for most mutual funds, said Paul Herbert, a senior mutual fund analyst with the research firm Morningstar. But he does expect losses in investment-grade rated bonds backed by the worst-performing mortgages.Morningstar, in a report published last month, identified several mutual funds that had invested in short-term bonds, including subprime debt, that have suffered losses this year.Fidelity Advisor Ultra Short Bond A and Fidelity Ultrashort Bond, managed by Fidelity Investments, are both down nearly 5 percent for the year, a sharp drop for a fixed-income fund."
1,"PARIS —The European Central Bank president warned Monday of ""hectic behavior"" in the global economy and urged central bankers to keep a close eye on the United States for signs of an economic slowdown in the wake of a credit crunch that has rocked global financial markets.""This is no time for complacency,"" Jean-Claude Trichet, the ECB chief, said at a gathering in Basel, Switzerland, of the world's top central bankers, including the U.S. Federal Reserve chairman, Ben Bernanke, and the Bank of Japan governor, Toshihiko Fukui. The current situation ""calls for close observation and monitoring,"" Trichet said.On Monday, fresh signs emerged that the U.S. economy, the world's largest, was being strained by a weakening housing market. Janet Yellen, the head of the Federal Reserve Bank of San Francisco, said the current turmoil in financial markets had added to downside risks for the U.S. economy, while an influential group of economists cautioned of a risk that the United States could slide into recession.The warnings came as President Nicolas Sarkozy of France and Chancellor Angela Merkel of Germany stepped up calls for a European mechanism to achieve greater openness in financial markets, an initiative they first raised as trouble in the U.S. subprime mortgage sector threw financial markets into a tailspin in August.Last week, Trichet kept interest rates unchanged for the 13 nations that use the euro, emphasizing the credit squeeze and financial market turbulence as factors that might dampen the outlook for the European economy.Economists and bankers say the United States must ride out the turmoil to ensure that other nations avoid a serious downturn. But concerns are mounting over whether U.S. consumption will remain robust enough to keep its economy afloat.In a speech, Yellen warned that declining home prices could hurt consumer spending, and that risks to economic growth would be heightened if housing prices fell while unemployment rose. She said actions by the Fed to shore up the credit markets had been helpful, but were not a panacea.In another ominous note for global economic prospects, the International Monetary Fund managing director, Rodrigo de Rato, said of the crisis that the ""main bulk of the consequences should be in the U.S. economy,"" and he warned also that some of the Fund's 2008 economic growth would be lowered, reflecting the impact of financial market turbulence.In Europe, where the crisis already has had concrete repercussions - including a government-led bailout of a German bank, the sale of another state-owned German lender, and the temporary freezing of funds managed by the French bank BNP Paribas - Sarkozy said he would not accept speculative ""predators"" making profits at the expense of ""hundreds of thousands of jobs.""Merkel, speaking at the same meeting as Sarkozy in Meseberg, Germany, called for a joint European effort to seek to seek ""fair conditions"" in the transparency of international financial instruments.The two leaders said they expected final decisions on closer supervision of hedge funds and ratings agencies at a spring summit meeting in 2008 and would make the issue a top priority under the Portuguese presidency of the European Union next year.Analysts are watching all corners of the U.S. economy for signs that heavily indebted consumers - usually a motor of growth - are pulling back. In recent weeks, auto companies and Wall Street analysts have reduced their forecasts for auto sales because of a combination of factors, including high gasoline prices, consumer uncertainty and the crisis facing mortgage lenders.Last week, Robert Nardelli, the chief executive of Chrysler, said he was concerned that problems in the housing market and the broader economy were hurting car and truck sales. He said Chrysler was trying to anticipate what might await the industry, whose sales this year are expected to be the worst since 1998.Trichet and other central bankers are treading a difficult line over fallout from the sub-prime lending crisis in part because financiers these days use an increasingly complex toolbox of financial instruments to manage risk.Central bankers have been intervening by pumping huge quantities of low-cost money into the financial system to stave off a prolonged economic slowdown and reassure battered markets. At the same time, central bankers are seeking to avoid giving signals that reckless risk-takers will be bailed out if their investments are sufficiently big to pose a threat to the wider economy.The proper role for central banks is to ensure the ""correct functioning of the money market"" and keep close tabs on inflation, Trichet said, but he added that it was not their role to rescue investors who had made risky bets.""Bailing out bad investors would be the worst thing to do,"" Trichet said."
2,"BERLIN, Sept. 11 — The Federal Reserve chairman, Ben S. Bernanke, said today that heavy saving by oil producers and Asian nations has helped depress interest rates by keeping financial markets flush with cash. But he warned against banking on this effect — one that probably helped create the current financial crisis — for the long term.In an annual lecture sponsored by Germany’s central bank, Mr. Bernanke skirted direct mention of the recent turmoil in financial markets, choosing instead to update a speech he gave two years ago. He cautioned that this influx of money would probably taper off “over the next few decades” as countries like China save less and consume more.Financial markets, however, have kept long-term interest rates low, a sign they apparently expect this effect to continue.“We are again reminded of the need to maintain appropriate humility in forecasting returns and asset prices,” Mr. Bernanke said.The “global savings glut,” a term that Mr. Bernanke coined two years ago to describe the historically peculiar phenomenon of an industrialized world awash in cash saved by developing countries, has helped fuel financial speculation by keeping interest rates low. Those low rates ensured that investors could borrow cheaply and invest in higher-yielding assets, including the securities backed by the now crisis-ridden subprime lending market in the United States that is threatening to drag down growth.Mr. Bernanke met with Chancellor Angela Merkel earlier in the day to discuss the American mortgage market crisis and the need for greater financial market transparency. But he declined to discuss these issues in remarks, citing the Fed’s silent period ahead of its coming policy meeting on Sept. 18.The Fed is expected to consider reducing its benchmark interest rate, from 5.25 percent, amid mounting signs the United States economy may slow as the credit crunch that roiled global markets tightens.The dollar has sunk in recent weeks as investors anticipate an interest rate cut, which would erode the value of dollar-denominated assets, and today was no exception to the trend. The dollar fell against the euro to within a few hundredths of a cent of the record low of $1.38 that it hit in late July.Though the crisis has been felt worldwide, policy makers in Europe today struck a largely upbeat tone, saying the European economy can weather the storm. But they warned in a new report that the financial market turmoil has “tilted the balance of risks clearly to the downside.”In a revised economic forecast released today, the European Commission said the 13-nation euro area will expand 2.5 percent in 2007, down from a prediction of 2.6 percent earlier this year. The full 27-nation European Union will grow by 2.8 percent instead of 2.9 percent, it said. It also revised its forecast for inflation slightly upward.“Looking at these figures we can conclude that maybe the peak of the cycle is behind us but we have still possibilities for a favorable situation in the coming quarters,” said the European Union’s economic and monetary affairs commissioner, Joaquin Almunia.A fuller picture should emerge as credit markets, which have periodically seized up as investors lost appetite for lending to anyone with exposure to the subprime market, begin to relax, the commission said.Jean-Claude Trichet, president of the European Central Bank, also said today that the credit crunch has not affected Europe’s major players in finance. “It is important to remark that credit losses were not significant enough to materially impact the soundness of core financial institutions,” Mr. Trichet told the European Parliament.Last week, the European bank agreed to keep interest rates unchanged instead of lifting them as previously planned, and Mr. Trichet has cited the credit crisis and concerns that the United States economy might slow as factors that may in turn affect the mending European economy.In his remarks, Mr. Bernanke said that his thesis of a global savings glut helped keep down interest rates for the 10 years through 2004 is still broadly true. Though the mixture of current account surpluses and deficits in the world has shifted, the countries in surplus — notably China and major oil exporters — continue to invest that cash in the financial markets of the industrialized world.“My reading of recent developments is that although some of the details have changed, the fundamental elements of the global saving glut remain in place,” he said. “Most important, the emerging-market countries and oil producers remain large net suppliers of financial capital to global markets.”But that era cannot last forever, Mr. Bernanke emphasized.“The logic of the global saving glut suggests that, as the glut dissipates over the next few decades and thereby reduces the net supply of financial capital from emerging-market countries, real interest rates should rise,” Mr. Bernanke said.In his remarks, Mr. Bernanke focused on external imbalances which he said had widened over the last three years, and urged that the United States work with other countries to mend the jigsaw pattern to contribute to greater economic stability.To be sure, not everyone agrees these imbalances raise significant risks to the global economy.For example, the United States deficit, although worrisome, also largely reflect the attractiveness of both the American economy overall and the depth, liquidity and legal safeguards associated with its capital markets, Mr. Bernanke said.Current account imbalances also mitigate the risk of recession, he noted, citing the European economy, which benefited from running trade surpluses during a period of sluggish growth, and is seeing a decline now that the economy has recovered.Mr. Bernanke said the United States current account deficit was “certainly not sustainable at its current level,” but liabilities to foreigners were also not a burden on the American economy.“All that said,” Mr. Bernanke said, “the current pattern of external imbalances — the export of capital from the developing countries to the industrial economies, particularly the United States — may prove counterproductive over the longer term.”"
3,"BERLIN —Ben Bernanke, chairman of the U.S. Federal Reserve, said Tuesday that heavy saving by oil producers and Asian nations had helped depress interest rates by keeping financial markets flush with cash. But he warned against banking on this effect - one that probably helped create the current financial crisis - for the long term.In an annual lecture sponsored by Germany's Bundesbank, Bernanke skirted direct mention of the recent turmoil in financial markets, choosing instead to update a speech he gave two years ago. He cautioned that this influx of money was likely to taper off ""over the next few decades"" as countries like China saved less and consumed more.Financial markets, however, have kept long-term interest rates low, a sign that they apparently expected this effect to continue.""We are again reminded of the need to maintain appropriate humility in forecasting returns and asset prices,"" Bernanke said.The ""global savings glut,"" a term that Bernanke coined two years ago to describe the historically peculiar phenomenon of an industrialized world awash in cash amassed by developing countries, has helped fuel financial speculation by keeping interest rates low. Those low rates ensured that investors could borrow cheaply and invest in higher-yielding assets, including the securities backed by subprime lending in the United States, now a crisis-ridden market that is threatening to drag growth down.The Federal Reserve is expected to consider reducing its benchmark interest rate from the current level of 5.25 percent, amid signs that the U.S. economy might slow as the credit crunch that disturbed global markets tightened.The dollar has sunk in recent weeks as investors anticipate an interest rate cut, which would erode the value of dollar-denominated assets, and Tuesday was no exception to the trend. The euro rose against the dollar to within a few hundredths of a cent of the record high of $1.38 that was hit late in July. (Page 17)Though the crisis has been felt worldwide, policymakers in Europe struck a largely upbeat tone Tuesday, saying the European economy could weather the storm.But they warned in a new report that the financial market turmoil had ""tilted the balance of risks clearly to the downside.""Bernanke met with Chancellor Angela Merkel earlier in the day to discuss the U.S. mortgage market crisis and the need for greater financial market transparency. But he declined to discuss these issues in his remarks, citing the Federal Reserve's policy of silence in advance of a meeting, which is scheduled for Sept. 18.In a revised economic forecast released Tuesday, the European Commission said the 13-nation euro area would expand 2.5 percent in 2007, down from a prediction of 2.6 percent earlier this year.The full 27-nation European Union will grow by 2.8 percent instead of 2.9 percent, it said. The commission revised its forecast for inflation slightly upward.""Looking at these figures we can conclude that maybe the peak of the cycle is behind us but we have still possibilities for a favorable situation in the coming quarters,"" said Joaquín Almunia, the EU Economic and Monetary Affairs commissioner.A more complete picture should emerge as credit markets, which have periodically seized up as investors lost appetite for lending to anyone with exposure to the subprime market, begin to relax, the commission said.Jean-Claude Trichet, president of the European Central Bank, also said Tuesday that the credit crunch had not affected Europe's major players in finance. ""It is important to remark that credit losses were not significant enough to materially impact the soundness of core financial institutions,"" Trichet told the European Parliament.Last week, the ECB agreed to keep interest rates unchanged instead of lifting them as previously planned, and Trichet has cited the credit crisis and concerns that the U.S. economy might slow as factors that could in turn affect the mending European economy.In his remarks, Bernanke said that his thesis that a global savings glut had helped keep down interest rates for the 10 years through 2004 was still broadly true. Though the mixture of current account surpluses and deficits in the world has shifted, the countries in surplus - notably China and major oil exporters - continue to invest that cash in the financial markets of the industrialized world.""My reading of recent developments is that although some of the details have changed, the fundamental elements of the global saving glut remain in place,"" he said. ""Most important, the emerging-market countries and oil producers remain large net suppliers of financial capital to global markets.""But that cannot last forever, he said.""The logic of the global saving glut suggests that, as the glut dissipates over the next few decades and thereby reduces the net supply of financial capital from emerging-market countries, real interest rates should rise,"" Bernanke said.Bernanke focused on external imbalances that he said had widened in the past three years, and urged the United States to work with other countries to mend the jigsaw pattern to contribute to greater economic stability.To be sure, not everyone agrees that these imbalances raise significant risks to the global economy.For example, the U.S. deficit, although worrisome, also largely reflects the attractiveness of both the U.S. economy overall and the depth, liquidity, and legal safeguards associated with its capital markets, Bernanke said.Current account imbalances also mitigate the risk of recession, he said, citing the European economy, which benefited from running trade surpluses during a period of sluggish growth. That surplus is declining now that the economy has recovered.Bernanke said the U.S. current account deficit was ""certainly not sustainable at its current level,"" but U.S. liabilities to foreigners were also not a burden on the American economy.""All that said,"" Bernanke said, ""the current pattern of external imbalances - the export of capital from the developing countries to the industrial economies, particularly the United States - may prove counterproductive over the longer term."""
4,"BERLIN —The dollar breached a new low against major currencies Wednesday as investors bet that the Federal Reserve would soon cut interest rates and after a warning from the U.S. Treasury secretary that turbulence in financial markets might linger.The currency of the 13-nation euro zone rose to $1.3905 in 4 p.m. New York trading from 1.3835 late Tuesday. Earlier, the euro hit a record $1.3914, topping its previous record of $1.3852, reached July 24. The dollar also continued a prolonged fall against the pound and the yen.The Federal Reserve is expected to reduce borrowing costs next week as the credit crunch that recently roiled financial markets threatens to slow the world's largest economy.At the same time, inflation pressures appear to be mounting, as the price of oil and other commodities rise amid a continued increase in demand, especially from growing economies like China.On Wednesday, the price of crude oil futures closed at a record $79.91 a barrel, up $1.68, after hitting $80.18 a barrel during the day in New York after a report showed that supplies dropped the most this year. A decision Tuesday by the Organization for Petroleum Exporting Countries to increase production by 500,000 barrels a day failed to cap prices. Analysts said the increase was less than expected.""There's a feeling that OPEC waited too long to make this move,"" said Rick Mueller, an analyst with Energy Security Analysis in Wakefield, Massachusetts.Commodity prices in several markets also stayed in record territory Wednesday. Gold rose, as did wheat, which finished Tuesday just shy of $9 a bushel, an all-time peak.Increasing global demand and weather damage to crops have driven up prices in Chicago, a leading commodities exchange, by 79 percent this year. Users including Kellogg, the biggest U.S. cereal maker, General Mills and PT Indofood Sukses Makmur, the world's biggest producer of instant noodles, are responding by raising prices, fueling inflation.""The market is in a real frenzy,"" said Tobin Gorey, a commodity strategist with Commonwealth Bank of Australia in Sydney. ""It's feeding through to the consumer.""As consumers deal with rising food and energy costs, the housing and credit markets remain far from recovery. The U.S. Treasury secretary, Henry Paulson Jr., said Wednesday that financial market turmoil would take some time to be resolved, especially in the area of subprime mortgages.""We have been experiencing market turbulence, and as I have said for a while, it is going to take some time to work its way out,"" Paulson said at a meeting at the Treasury Department. ""We are going to work our way through this, in some markets more quickly than others.""The strength of the euro threatens to make European exports more expensive and therefore less competitive, although the currency's movements this year have been gradual rather than abrupt.The strong euro ""is weighing on growth,"" the French budget minister, Éric Woerth, said after a cabinet meeting in Paris on Wednesday.The dollar, which has hovered within a few cents of its record low over recent weeks amid the market turmoil caused by the subprime crisis, had come under new pressure since the U.S. Labor Department issued unexpectedly poor August jobs data Friday."
5,"VIENNA —OPEC sought to stamp its authority over volatile oil markets Tuesday, agreeing to increase production by 500,000 barrels a day. But prices held above $78 a barrel Wednesday after finishing at a record close of $78.23 a barrel Tuesday in New York.By midday in Europe on Wednesday, light, sweet crude for October delivery had risen 3 cents to $78.26 a barrel.At the same time, representatives of leading OPEC nations said they feared that a slowing global economy might damp future demand. The oil cartel signaled that it would be ready to act swiftly to protect its members' interests.[World oil demand will grow more slowly than expected in the last quarter of 2007 and next year, and high prices may further curb consumption, the International Energy Agency said Wednesday, Reuters reported from Vienna.[In its monthly Oil Market Report, the adviser to 26 industrialized countries said world demand would rise by 2.35 million barrels per day in the fourth quarter, 240,000 barrels per day less than expected last month.[In lowering its demand estimates, the IEA cited weaker than expected consumption in June and July and said it was too early to assess the impact of fallout from the subprime mortgage crisis on the U.S. economy.]The decision by members of the Organization of the Petroleum Exporting Countries came after an unusually long day of arguments about the size and the timing of the increase in production, intended to meet a surge in winter consumption and to push prices down.While the rise in crude oil supplies would be modest, about 2 percent, the announcement still came as a surprise to many. Some OPEC countries - including Iran, Venezuela and Algeria - had initially expressed strong opposition to an increase in supplies. Others feared that a mistimed decision to add oil to the market might backfire at a time of heightened economic concern.Saudi Arabia and other Persian Gulf nations brokered the deal during a seven-hour meeting here. Analysts said Saudi Arabia, OPEC's de facto leader and the group's biggest supplier, would be more comfortable with oil at around $70 a barrel. The production increase, the first official one in more than a year, will be effective on Nov. 1.Oil-consuming countries, including the United States, have been urging OPEC producers to add output to the market, warning that winter was expected to bring a big rise in consumption that oil producers outside OPEC would not be able to meet. They warned further that high oil prices could put an additional drag on the global economy.OPEC members stressed that they were being responsible and responsive.""Our message to consumers is that we care and we are concerned, and that is why we increased production,"" said Abdalla Salem el-Badri of Libya, the group's secretary general.Vera de Ladoucette of Cambridge Energy Research Associates, said: ""The Saudis convinced other OPEC countries that $80 a barrel was a ceiling. They were really worried about contributing to the world economic crisis. They acted prudently.""And David Kirsch, an oil analyst at the consulting firm PFC Energy, said: ""OPEC is uncomfortable with a situation that takes control away from the fundamentals, and therefore from OPEC."""
6,"NEW YORK —Not long after the dot-com industry collapsed a few years ago, retailing became the hottest sector in commercial real estate. Online shopping was no longer viewed as a threat to bricks-and-mortar stores, and rising housing values made it easy for people to borrow more money - and spend it. Shopping centers began changing hands at ever-escalating prices.Two years ago, retail real estate began losing some of its allure for investors as the condo-conversion craze took over. More recently, investors have gravitated toward office buildings and hotels.Now many people in the retail real estate industry are bracing themselves for a slowdown in spending as the subprime mortgage crisis and the decline in housing values continue to send ripples through the economy.And shopping centers have been caught in the credit squeeze that has transformed the capital markets. Private buyers, who were once able to finance 95 percent or more of the cost of a transaction, are being driven out of the market because such high leverage is no longer available.According to investors, brokers and analysts, deals are taking longer to complete, and prices - at least for the second- and third-tier properties - are declining by as much as 10 percent.""What we have seen is a lull in the market, what you might call the calm before the storm,"" said Fritz McPhail, the owner of Blue Ridge Capital, an Atlanta real estate company that specializes in acquiring troubled strip malls. ""We are seeing prices change. We are seeing deals blow up. People are calling us back a second time to see if we want to consider another offer.""About 80 percent of the choice regional malls in the best locations are owned by publicly traded real estate investment trusts. Not surprisingly, they are expected to withstand the credit squeeze better than older shopping centers in less desirable settings.But even top mall operators are being affected by tighter lending standards.Two real estate investment trusts, the Simon Property Group and Macerich, agreed this year to sell three malls they have jointly owned for nearly a decade - Lindale Mall in Cedar Rapids, Iowa; NorthPark Mall in Davenport, Iowa; and SouthPark Mall in Moline, Illinois - to a private company that relies on a high degree of leverage. But the buyer was unable to complete the deal.Many retail specialists draw a distinction between shopping centers that cater to lower-income shoppers, who are more likely to lose their homes through foreclosure, and centers that serve more affluent customers. ""The upscale mall guys, while not completely insulated, should be better than the lower end,"" said Steve Sakwa, Merrill Lynch's analyst for real estate investment trusts. ""I don't think the credit crunch is really killing the people of Boca Raton.""Donald Wood, the chief executive of Federal Realty Investment Trust, a Rockville, Maryland, company that specializes in strip malls in inner-ring suburbs, where there is little land to be developed by competitors, said his company had not experienced an increase in vacancies. The future is likely to be less rosy for property owners in areas ""with less people, with less money and less barriers to entry,"" he said.Similarly, retail space in New York and other densely populated cities has continued to command high prices because ""you can't build very much of it,"" said Robert White Jr., of Real Capital Analytics, a New York research firm.With some big-box retailers like Home Depot reporting declining sales, shopping centers with such stores, known in the industry as power centers, may take a bigger hit than those whose tenants sell food and other necessities. ""The power centers are seeing the impact directly,"" said Jim Sullivan, an analyst at Green Street Advisors. ""There may be a perception that power centers are riskier than they had been.""Like residential mortgages, commercial mortgages are pooled, sorted into risk categories and sold as bonds.In the past several weeks, demand for these bonds has weakened, with investors demanding to be paid more for the risk. As a result, said Pete Bethea, a principal at Burnham Real Estate, a brokerage firm in San Diego, lenders are changing the terms of deals. ""Even if people thought they had their deal locked, there's no such thing,"" he said.Small-scale investors are being shut out, White of the New York research firm said. ""The trouble in the debt market is having an immediate impact on them,"" he said.As buyers are required to use more of their own equity, prices could fall as much as 15 percent but are not likely to slide much further, said Matthew Ostrower, a senior analyst for real estate investment trusts at Morgan Stanley. He said private equity funds had raised tens of millions of dollars to spend on real estate but were waiting for the gap to narrow between what sellers are asking and what they are willing to pay. ""Where that price is will be the collective decision of all these buyers,"" he said."
7,
8,"The dollar fell to a new low point against the euro yesterday and oil prices surged to a record, suggesting that a weaker American economy would be accompanied by higher prices for energy and other imported products.As of late yesterday, the euro traded in New York at $1.3908, up from $1.3832 late Tuesday; the European common currency has risen 5.4 percent against the dollar so far this year and about 1 percent this week.Crude oil prices rose more than 2 percent on the New York Mercantile Exchange, settling at $79.91 a barrel, after briefly trading above $80 — a day after OPEC said that its members would increase production by a modest amount.Taken together, these moves in the currency and commodities markets signaled more trouble for the American economy.Stock trading was light yesterday, and most indexes were modestly lower. The Standard & Poor’s 500-stock index ended essentially flat, and the Dow Jones industrial average declined a little more than 0.1 percent. Nasdaq and smaller-capitalization stocks were lower. Treasuries were down slightly, and the yield on the 10-year note rose to 4.41 percent, from 4.37 percent on Tuesday.Gold prices, little changed yesterday, have also surged in recent days as fears of an economic decline mounted and the dollar weakened. Gold futures are up 5.7 percent so far this month, to $714 an ounce in New York.Though the dollar has been falling against other currencies for much of the year, it has weakened significantly since Friday, when government data showed that businesses reduced net employment by 4,000 in August and that job growth had been weaker in June and July than previously thought.Investors widely expect the Federal Reserve to lower its benchmark short-term interest rate, now at 5.25 percent, when it meets on Tuesday. There is even talk of a cut as much as a half-point.Ashraf Laidi, chief foreign currency analyst at CMC Markets in New York, commented, “The payroll report was seen as a macroeconomic justification.”Currencies are influenced by many factors, chief among them expectations for interest rates and inflation. If rates were to fall in the United States and remain unchanged in Europe, as many investors are expecting, traders will probably bid up the exchange value of euros.“The dollar is not in a great position,” said David Gilmore, a partner at Foreign Exchange Analytics in Essex, Conn. “The confidence level is eroding in the face of the credit market crisis, which is very much subprime related and mortgage market related. And it is now complicated by the fact that the real economy is slowing.”For much of the year, the dollar has also been falling against the British pound and the Canadian, Australian and New Zealand dollars. The Japanese yen is up about 4 percent against the dollar so far in 2007, though it has lost some ground in the last few days.The weakening dollar has been a boon to exporters whose goods and services will become more competitive on the world market.Exports have been among the brightest spots in the American economy this year, growing 11.4 percent in the first eight months from the corresponding period of 2006. By comparison, imports were up 4.6 percent.The depreciating dollar has made imports more expensive. Energy commodities are expected to be chief among these.Oil prices, already near records set two months ago, have surged anew. The decision on Tuesday by the Organization of the Petroleum Exporting Countries to increase production by 500,000 barrels a day, a relatively small quantity when compared with total production, appeared to make little difference.Yesterday, prices were also reacting to a government report that showed that crude oil inventories fell in the United States by 2.1 percent last week.More broadly and in the longer term, many analysts say that oil prices are poised to go higher because global demand for energy, led by China and India, is growing far faster than overall production, especially among oil producers that are not members of OPEC.“The combination of robust long-term demand growth and lagging non-OPEC supply suggests that strong support for oil prices is set to remain a feature of the markets beyond 2010,” Adam Sieminski, an analyst at Deutsche Bank, wrote in a research note.Those higher prices, along with the increase in the prices of other imports, will provide another source of worry for the American economy and consumers. It could also complicate the Fed’s task, said Dustin Reid, a senior currency strategist at ABN Amro in Chicago. If inflation surges, policy makers would have a harder time justifying a big or prolonged series of rate cuts.“At some point, you are going to have the potential of importing inflation from around the globe,” Mr. Reid said. “And that’s likely to keep the Fed on guard.”"
9,"WASHINGTON, Sept. 12 (AP) — Secretary of the Treasury Henry M. Paulson Jr. said Wednesday that the turbulence in the financial markets would take some time to be resolved, especially in the area of subprime mortgages.Mr. Paulson, speaking to executives of big financial companies at a meeting at the Treasury Department, said the Bush administration was seeking their help in making sure that homeowners with subprime mortgages received assistance in dealing with sharply rising payments as their initial low adjustable rates were reset to higher levels.“We have been experiencing market turbulence, and as I have said for a while, it is going to take some time to work its way out,” Mr. Paulson said. “We are going to work our way through this, in some markets more quickly than others.”He added that “we are already seeing signs of improvements in a number of markets that have been experiencing stress.”But he said it was going to “take longer to work through the problems in the subprime market,” noting that many loans in this market were scheduled to be reset over the next two years.There are estimates that two million homeowners will face steep increases in their monthly payments, putting many of them at risk of losing their homes. The meeting here Wednesday was called as a follow-up to efforts announced by President Bush on Aug. 31 to provide some help to borrowers struggling to cope with mortgage payments.Among those attending the meeting with Mr. Paulson was Angelo R. Mozilo, chairman and chief executive of Countrywide Financial, the mortgage giant, which announced last week that it would lay off as much as 20 percent of its work force as it struggles with rising defaults.Other companies represented were Wells Fargo, CitiMortgage and JPMorgan Chase."
