,0
0,
1,
2,"HONG KONG —For all the mystique and reverence that surrounds the Hong Kong billionaire Li Ka-shing, it is easy to see him as a local answer to the renowned U.S. investor Warren Buffett.Li's insights into financial markets are as eagerly watched in this part of the world as Buffett's are in the United States.So it is no wonder that Li's views on Thursday about the recent turmoil in global markets in the shadow of the subprime mortgage crisis in the United States were of as much interest as the earnings results of his vast business empire.At a news conference Thursday in the metal and glass tower of Cheung Kong headquarters, Li was positive. He said his own businesses and region were well placed to withstand recent difficulties in credit markets and turmoil in equities markets.But he acknowledged that might not remain the case if economic conditions in the United States turned ugly.With ""any bad economic change in the U.S., the impact is not only on Hong Kong, but the whole world,"" he said. ""Hong Kong cannot be above any crash in the U.S.; Hong Kong will be affected.""Li, like Buffett, is admired for his investment judgment and his philanthropy. At 79, Li has, like the 76-year-old Buffett, been around for a long time and has a lot of experience in business and investing to draw on.Both are also known to be personally thrifty. Li, the richest Asian resident and the 12th-richest man in the world, once proudly told an interviewer about his cheap watch, a Seiko, later traded down to a Citizen.While the parallel between Li and Buffett cannot be stretched too far, their words and actions are scrutinized intensely by other investors for any hint of how to make a fast buck and by the media for insights into the economy and business conditions.As Li's biographer, Anthony Chan, noted: ""Every gesture and twitch on his part might signal to others that he could be preparing for some significant business move. A corporate celebrity, he would become a key barometer of the erratic upturns and downturns of business"" in Hong Kong.Added to that is the fact that Li's businesses are ubiquitous in Hong Kong. It owns supermarket and drugstore chains, a telephone company and has built a good portion of the city's housing. The company estimates that one in 12 Hong Kong people live in one of its apartments.This explains why a normally mundane corporate event Thursday - the announcement by Li of interim results for his Cheung Kong Group - is a media circus, accompanied by a battery of television cameras, an incessant burst of flashbulbs and dozens of giddy reporters, laughing at Li's frequent gags.The bottom line for his companies is that they have been doing well over the past six months in an exceptionally buoyant economic environment. He reported profit for Cheung Kong in the first half of 18.5 billion Hong Kong dollars, or $2.36 billion, up 52 percent.Through Cheung Kong and its subsidiary Hutchison Whampoa, Li oversees an empire that includes ports, commercial and residential property, telecommunications, retailing, electricity generation and energy. A lot of the business is centered on Hong Kong and mainland China, although it has global reach.Victor Li Tzar-kuoi, Li's eldest son and heir, sitting to his right, cut in with a more optimistic, or perhaps hopeful, view than his father when talking about the knock-on effects of a sharp slowdown in the U.S. economy. The younger Li is deputy chairman and managing director of Cheung Kong.""You can look at it from a more positive angle,"" he said. ""The U.S. has started to reduce interest rates and Hong Kong starts to reduce rates. That will be a positive signal to markets.""But the elder Li was cautious about giving advice on where stock markets are headed.""Everywhere there are so many experts on the stock market,"" he said.The prices of his own stocks have not been all that inspiring in recent months. Cheung Kong has risen by 11.4 percent since the start of the year, just behind the local benchmark index. The price of Hutchison shares have fallen by 2.6 percent, dragged down by a third-generation mobile phone unit that reported a loss of 11.3 billion Hong Kong dollars in the first half.Hutchison made a 14.4 billion-dollar contribution to Cheung Kong Group profit, but only because of a 35.8 billion-dollar windfall from the sale of an Indian mobile phone unit to Vodafone of Britain.Still, analysts say the luster has not gone off the reputation of a man who built vast business holdings from very humble origins and earned epithets in the local press like ""Superman"" and ""Mr. Money."" The 3G business is improving and might offer some divestment opportunities.Cheung Kong also is expanding aggressively in China. The group's last annual report cited 32 residential and commercial construction projects in China that are already in development or bring planned. That should ensure solid returns amid a strong property market.Eva Lee, an analyst at Macquarie Securities in Hong Kong, said the property portfolio was expected to book substantial earnings in the second half, with the prospects of more to come with Cheung Kong building up a strong land bank.""The bottom line is a good result,"" she said."
3,"TOKYO —The Bank of Japan, the country's central bank, kept interest rates unchanged Thursday in the wake of worries about a U.S. credit crisis that triggered turmoil on global markets, but the bank warned that it could not keep rates low forever.Toshihiko Fukui, governor of the bank, said keeping interest rates too low could cause more risky investment.""Distortions and the misallocation of resources could occur if interest rates are kept at levels inconsistent with the economy,"" Fukui said in Tokyo. ""Our policy is forward-looking and we can act when we're confident in our judgment.""The Bank of Japan's decision to maintain rates at 0.5 percent was widely expected because of recent turmoil in financial markets, worries about a slowdown in the U.S. economy and a recent move by its U.S. counterpart to lower rates.""Basically we see recent volatile market moves as a process of risk repricing but we need to continue to monitor market movements and underlying moves in the world's economy,"" Fukui said.Azusa Kato, economist at BNP Paribas in Tokyo, said the Bank of Japan might have to wait until November, perhaps December, before a rate increase because the U.S. Federal Reserve was expected to cut interest rates further. ""It's inevitable the Bank of Japan has to take a wait-and-see approach,"" Kato said.Later in the day, the Bank of Japan left unchanged in its monthly report its view that the Japanese economy will continue to expand moderately.The bank, which last raised interest rates in February, said that the vote Thursday, which came at the end of a two-day meeting, was eight-to-one.The bank is waiting to look at more data on the economic recovery in Japan, and pressures are high on the bank to work with financial authorities around the world.The U.S. Federal Reserve cut its discount rate by a half percentage point to 5.75 percent last Friday to try to stabilize U.S. and global markets. Kato said further cuts could be in the works.Although the direct fallout from the U.S. mortgage troubles is not expected to be great for the Japanese economy, the big question is how the U.S. economy will hold up.Before the U.S. subprime mortgage crisis emerged in recent weeks, the markets expected the Bank of Japan to raise the benchmark overnight call rate.A falter in the U.S. economy and a stronger yen pose dangers for the Japanese economy, whose major companies heavily depend on exports to the United States.In recent years, Japan, the world's second-largest economy, has been expanding because of strong corporate profits and a gradual rebound in consumer spending. The Japanese stock market was recovering until the U.S. subprime mortgage crisis hit.The Tokyo stock benchmark nose-dived last week but has been recovering this week alongside other global markets because of the U.S. rate decrease. The Nikkei 225 index rallied 2.61 percent Thursday, partly encouraged by the Bank of Japan postponing a rate rise.Complicating the bank's decision-making is a timing issue in September.If the U.S. central bank cuts its main policy rate at its Sept. 18 meeting, as many economists now expect, that would challenge the Bank of Japan's scenario of a soft landing for the U.S. economy, just a few hours before it is due to decide whether to raise Japanese rates."
4,
5,"LONDON, Aug. 22  Susan Whittaker was desperate. Four years ago, she purchased her first apartment in the town of Rochester, less than two hours east of London. But then interest rates started to rise, and the income from the small shop she ran with her partner no longer covered their adjustable-rate mortgage.Facing foreclosure, and determined to avoid moving in with her mother, Ms. Whittaker found a way out in an increasingly popular arrangement here known as a “sale and rent back.”A private company bought her home, allowing her to avoid foreclosure; then the company rented the house back to Ms. Whittaker and her partner and they did not even have to move.The catch is that the company paid the couple less than the value of their apartment.Such deals are uncommon in the United States, and mortgage brokers say they discourage them because of the possibility of unscrupulous and dishonest lenders exploiting distressed homeowners.But desperate times call for desperate measures. While Americans fear an epidemic of foreclosures, brought on by the subprime mortgage meltdown, Britain is already suffering one.Foreclosures here are at an eight-year high; lenders have repossessed a record 14,000 properties in 2007, 30 percent more than at the same time last year, according to the Council of Mortgage Lenders. An additional 125,100 households are behind in their mortgage payments.And personal bankruptcies are at an all-time record, caused largely by a crushing increase in mortgage debt. The situation has grown so dire  as has the threat of desperate homeowners being exploited  that the newly installed government of Prime Minister Gordon Brown is trying to change the fundamentals of the mortgage system.Whether they can is an open question, especially given Britons’ attachment to home ownership, adjustable-rate mortgages and personal debt. British consumers are the most indebted citizens of any Group of 7 nation, and television shows devoted to real estate and debt advice are among the most popular programs in the country.“We live in a society where we encourage people to take on debt, and there is lots of pressure to get your foot on the housing ladder, which has proven quite a fruitful investment for some,” said Frances Walker of the Consumer Credit Counseling Service, a debt adviser, in London.Currently, only 5 percent of British home buyers take out fixed-rate mortgages. The norm here is a mortgage with a fixed rate for the first two years, and then a floating rate for the duration of the mortgage.But the rate on adjustable mortgages has skyrocketed as the Bank of England ratcheted up interest rates  five times over the last 12 months to 5.75 percent, their highest level since 2001.Add the rising costs of necessities, like food and utilities, and British homeowners find themselves increasingly squeezed. Real estate experts here say that is why more and more homeowners are turning to the practice of sale and rent back.The mushrooming of the unregulated market has worried regulators and lawmakers concerned that homeowners were giving up their houses for as little as 75 percent of market value, with no guarantee they would be allowed to stay in their former property after six months, the minimum lease period here.Lawmakers are now trying to figure out how to encourage more homeowners to take fixed-rate loans, but that will not help those already facing foreclosure, or prevent the threat of predatory lending.If there is a silver lining in Britain, it is that, unlike in the United States, home prices are still rising, for now, after more than tripling since 1997. Recent interest rate increases have yet to reverse the trend. In fact, the National Housing Federation recently predicted prices would rise 40 percent in the next five years, elevating the average price of a home, which already costs about 11 times the average British salary, to £302,400, or $618,000.As long as home prices rise, distressed property owners can still sell their home and receive enough money to repay their mortgage debt  in theory. In reality, selling a property here can take several months, and by the time many owners are facing foreclosure, they often do not have that kind of time.Higher prices may push some prospective buyers out of the market, but others will simply take out larger mortgages. Owning a home is so entrenched in the British psyche that most consumers would rather take on additional debt than rent, even if they can’t afford it, say real estate experts.Some debt advisers have warned that higher demand for borrowing could result in an increase in lax lending practices and plunge more people into personal bankruptcy, which in turn could hurt consumer spending and slow economic growth.Recognizing that, Mr. Brown’s new government has come up with two initiatives intended to make sure Britain’s housing boom does not turn into a bust. The measures aim to build 240,000 homes a year by 2016 to provide more affordable housing, and to encourage lenders to sell more 25-year fixed-rate mortgages.Mortgage experts estimate that about two million mortgages will adjust to a higher rate in the next 18 months as their short-term fixed rates expire.Longer-term fixed-rate mortgages would limit the risk of such interest rate increases, but short-term thinking among British borrowers and the lack of an established covered-bond market in Britain has kept fixed-rate mortgages from ever taking off here.The United States mortgage market is financed through capital markets  hence some of the problems currently buffeting the markets  but Britain has always been a retail-led mortgage market, financed through bank savings deposits.Now Alistair Darling, chancellor of the Exchequer, is studying plans to create a legal framework to allow banks and other lenders to issue covered bonds, and to make them attractive to investors, in order to help lenders create capital pools that would finance longer fixed mortgages.Yet that task could become markedly more difficult now given the current problems with the United States mortgage market. The liberalization of the British mortgage market in the 1980s under Margaret Thatcher’s government removed some credit controls, admitting new lenders who offered mortgages with ever more competitive short-term fixed rates. Longer-term fixed-rate mortgages became even more unpopular in the 1990s when interest rates peaked at 15 percent.In March, Nationwide, Britain’s third-largest mortgage lender after HBOS and Abbey, became the first large lender to offer a 25-year fixed-rate mortgage after government lobbying and a positive development of the yield curve. “If this deal is ever going to be attractive, now is the time,” Stuart Bernau, Nationwide’s chief executive, said at the time.Some analysts remain skeptical. “People don’t feel comfortable tying themselves in for that long, and they get turned off by the penalties” of paying off early, said James Cotton, a mortgage adviser at London & Country Mortgages. Early payment fees can reach as much as £300,000 in Britain.But if the government cannot persuade Britons to change their borrowing habits, experts warn that the country may face its own subprime mortgage crisis, as consumers with tarnished credit find that only subprime lenders are willing to work with them.“That’s where the real problems will start, and we could easily see what happened in the U.S. repeated over here, ” said Steve Grail, managing director at Grosvenor Trust & Savings, an independent financial adviser in London.None of this matters to Susan Whittaker. The experience of having to sell her home and rent it back has made any type of loan out of the question. “We won’t get a mortgage again,” said Ms. Whittaker, speaking on the phone from her Rochester home. “The whole episode has put us off.”"
6,"Japan’s central bank, the Bank of Japan, left its interest rates unchanged because of worries about the fallout from the credit squeeze in the United States. Before the subprime mortgage crisis emerged in the United States, the markets had expected the Bank of Japan to raise the pivotal overnight call rate, now at 0.50 percent."
7,"WASHINGTON, Aug. 23  The financial turmoil that began with the seemingly narrow meltdown in subprime mortgages is now forcing both policy makers and Wall Street analysts to scale back their expectations for growth in the overall economy.Most economists still predict continued economic growth for the rest of the year and into 2008, but many are trimming their forecasts and warning that even their somewhat darker views could be too rosy.Global Insight, a forecasting firm in Lexington, Mass., on Thursday predicted that growth would be markedly slower for the third quarter of this year, and it reduced its forecast for all of 2007 to 1.9 percent from 2.1 percent.“The economic outlook has dimmed,” wrote Nigel Gault, group managing director of North American economic research at Global Insight. Citing tightening credit and a “continuing drumbeat of bad news on housing” as well as high oil prices and slower growth in productivity, he also scaled back his forecast for growth in 2008.In Washington, the nonpartisan Congressional Budget Office issued a comparatively optimistic forecast on Thursday, cautiously predicting that the turmoil in markets would not derail economic growth. Even so, the Congressional agency trimmed its previous forecast for growth this year to 2.1 percent, from 2.3 percent, and it warned the uncertainties were higher than normal.“I wouldn’t say we’re sanguine,” Peter R. Orszag, director of the agency, said in an interview. “The situation is very cloudy and uncertain. But the most likely economic scenario is continued solid growth.”As for the federal budget, the agency predicted the deficit would decline this year to $158 billion, its lowest level since 2002. But it reiterated past warnings that the long-term budget path is “unsustainable.”If President Bush’s tax cuts are extended indefinitely beyond their planned expiration in 2010, and Congress continues to protect most taxpayers against increases in the alternative minimum tax, the budget office estimated, over the next 10 years government revenue would fall $3.4 trillion short of the baseline forecast and deficits would return to more than $200 billion a year.The White House put out a statement after the budget office released its new estimates celebrating the decline in the budget deficit. “It shows that our government is on a path to meeting the goal I set forth of putting the budget into surplus by 2012,” Mr. Bush said. “Balancing the budget requires keeping the economy strong, keeping tax rates low, and keeping spending in check.”The Congressional Budget Office forecast was notably sunnier than those elsewhere.“This is one of the greatest panics I’ve seen in 55 years in financial services,” Angelo R. Mozilo, chief executive of Countrywide Financial, the nation’s biggest mortgage lender, said in an interview on CNBC.He predicted that the housing crisis would lead to a recession. “I just don’t see a light here at the moment,” he told CNBC. “I can’t believe when you’re having this level of delinquencies  equity is gone, the tide has gone out  that this doesn’t have material effect on the psyche of the American people and eventually on their wallets.”Most Wall Street forecasters are not anywhere near being that gloomy, cautioning against panic. But they are less optimistic than the Congressional forecasters.On Wednesday, Citigroup issued a new forecast suggesting growth would fall short of its earlier estimates. And economists at Goldman Sachs, who had already reduced their forecast to 1.9 percent two weeks ago, warned on Thursday that the housing market was probably overpriced by more than 15 percent.Where the budget office predicted on Thursday that the economy would pick up speed early next year and expand by 2.9 percent during 2008, many private sector analysts said they see growth of less than 2.5 percent next year, with some going lower.“I would trim back my forecast to 2 percent at best for next year, maybe 1.9 percent,” said Stuart Hoffman, chief economist at PNC Financial in Pittsburgh. “I’d still call this a soft landing, but we’re barely above the treetops.”Before the financial downturn, the Federal Reserve had been carefully trying to engineer a so-called soft landing for the economy, in which growth would slow enough to reduce inflationary pressures without greatly increasing joblessness.Economic growth has in fact slowed this year, with unemployment still low at 4.6 percent.Ben S. Bernanke, the Fed chairman, told Congress in July that the economy seemed poised for “moderate” growth of about 2.5 percent this year and a slightly faster expansion in 2008. Despite the steep downturn in residential home construction, Mr. Bernanke predicted, rising employment and wages would lead to continued growth in consumer spending and rising exports would stoke more business investment.Lewis Alexander, chief economist at Citigroup, cautioned against “going overboard” about the fallout from the housing market, noting that corporations were still fairly flush with cash and have strong balance sheets that should enable them to keep investing.But in trimming back its growth forecast for the United States as well as Europe and Japan, Citigroup warned that the turmoil in credit markets had greatly increased the uncertainty of any predictions. “Ongoing dislocation in money markets has the potential to impair economic activity and any forecast of solid expansion is dependent upon a timely restoration of normal money market conditions,” Citigroup’s economists said.And even after markets stabilize, they said, investors will demand greater premiums for taking on the added risks of commercial loans and mortgages."
8,"BEIJING, Aug. 24 — After appearing immune to the turmoil engulfing the mortgage market in the United States, China suffered its first serious setback today from exposure to subprime loans.Investors punished China’s flagship lender, Bank of China, after it disclosed the biggest exposure so far of any bank in Asia. Shares in the bank, the second largest in China, fell 5.4 percent in Hong Kong a day after it reported holding almost $9.7 billion in securities backed by subprime mortgages. That is about 3.5 percent of its total securities portfolio.Industrial and Commercial Bank of China, the biggest Chinese lender, also suffered at the hands of investors today after it disclosed that it was holding $1.23 billion in securities backed by these mortgages. Its shares fell 2.4 percent before ending up 0.2 percent.The potential for losses on these investments is a blow to the two state-controlled lenders, which have been at the forefront of China’s efforts to clean up its vast, inefficient banking system and halt the accumulation of bad loans.China has spent more than $280 billion since 1998 to clear bad loans from the books of its state-controlled banks and prepare them for competition from foreign banks that are beginning to expand their operations in mainland cities.Banking experts remain confident that any losses arising from subprime loans suffered by Bank of China, the Chinese bank with the biggest exposure to foreign markets, were unlikely to seriously jeopardize its financial performance.“We expect the losses are not going to be unbearable,” said Charlene Chu, a banking analyst with Fitch Ratings in Beijing. “They should be able to absorb them pretty easily.”But the unexpectedly high combined exposure of the two Hong Kong-listed banks to these loans has clearly rattled investors.The value of Bank of China’s holdings of securities backed by the American mortgages is roughly equal to its 2006 operating profit, analysts said.A third state-controlled Chinese bank, China Construction Bank, which has also floated a minority of its shares in Hong Kong in recent years, is expected to come under close scrutiny Monday when it reports its first-half results.Before Bank of China and Industrial and Commercial Bank reported their exposure to these loans Thursday, tight Chinese capital controls, restrictions on investing overseas and a strictly controlled media had left many with the impression that the world’s fastest-growing major economy was insulated from the subprime crisis.As foreign markets have plunged on fears of a credit squeeze, the Chinese stock market has continued to power ahead, rising almost 90 percent this year on top of a 130 percent increase in 2006.Analysts noted that despite slumping in Hong Kong, shares in both banks gained ground today in Shanghai, possibly because the state-controlled media highlighted both banks’ strong profit growth rather than their subprime exposure.And as central banks around the world have pumped liquidity into the financial system and eased interest rates to calm markets, China has continued to soak up cash in the economy and increase the cost of borrowing.China’s central bank, the People’s Bank of China, raised interest rates this week for the fourth time this year in an effort to slow growth and contain soaring consumer prices.For Chinese banks, an extended period of economic growth has allowed them to strengthen their balance sheets and improve their lending practices, according to most banking experts.According to official statistics, nonperforming loans account for about 7 percent of all lending on the books of commercial banks in China, a sharp decline from the early years of this decade when the ratio was estimated to be as high as 25 percent.However, some critics of Chinese banking changes point out that one reason for this apparent improvement is that lending has increased rapidly in recent years. With more new loans on their books, bad loans have shrunk as a proportion of overall lending.The danger for China is that in the event of an economic slowdown, a new wave of nonperforming loans could wash through the banking system.In announcing a 52 percent increase in profit for the first half, which stood at $3.9 billion, Bank of China said $150 million had been set aside to cover any losses on its subprime investment. So far, no losses have been booked.“In the future, we will closely monitor changes and prudently manage our asset portfolio to effectively control market risk,” the bank said."
9,"A rise in sales of new homes last month provided an unexpected respite from the steady stream of dismal housing market statistics lately, but economists cautioned that it was unlikely to last.As obtaining a mortgage gets more difficult even for people with solid credit and the supply of homes continues to far exceed demand, any recovery in the real estate market still appears months away.For one day anyway, investors were cheered by the news and lifted stocks. The Dow Jones industrial average rose 142.99 points, or 1.1 percent, to 13,378.87. The Standard & Poor’s 500-stock index rose 16.87 points, or 1.2 percent, to 1,479.37, and the Nasdaq composite index climbed 34.99 points, or 1.4 percent, to 2,576.69.The Commerce Department said today that new home sales, measured at a seasonally adjusted annual rate, rose 2.8 percent in July, to 870,000. It was only the second month this year in which sales of new homes increased from the previous month.But the upturn was concentrated in the West, where sales surged 22.4 percent. That helped offset a 24.3 percent plunge in the Northeast and relatively flat sales in the Midwest (down 0.9 percent) and the South (up 0.6 percent).The strength on the West Coast, which has the highest median home prices in the country, also helped lift the national median price of a new home, to $239,500 from $230,600 in June.For the improvement they showed, the July statistics predated the credit market squeeze that has roiled the global financial system this month. Since then, banks have tightened borrowing standards considerably for individuals and businesses alike, which is expected to put a further drag on home buying.“In July, people were talking about the subprime problems, but they weren’t talking about it being a major credit crunch,” said Joel L. Naroff, chief economist for Commerce Bank. “Now they’re looking at it and recognizing that maybe it’s not a full-blown crisis, but it could become one.”The effect of the credit tightening — both in terms of its real effect on mortgage availability and its psychological effect on consumers — has yet to unfold.“I think there’s a lot of uncertainty,” said Celia Chen, the director of housing economics at Moody’s Economy.com. “I think potential buyers are going to need to see a little firming in prices. And then I think they’ll need to be able to access credit easily. Right now, that’s getting harder and harder.”The statistics showed that builders continue to face high levels of unsold inventory. The supply of unsold homes last month fell to 7.5 months from 7.7 months, but that is still far more than the five-month supply that is considered normal. At the end of July, the Commerce Department said there were 533,000 unsold new homes on the market, down 7 percent from July 2006.With so many homes on the market, economists said prices could continue to fall for some time. Despite the increase last month, the median price of a new home in July was still lower than the 2006 median of $246,500.The rise in new home sales last month was out of step with what some of the nation’s largest builders have been saying recently about the state of their businesses. Major companies like D. R. Horton and Toll Brothers have reported double-digit drops in sales since last year, sagging profits and soaring cancellations. And the National Association of Home Builders said last week that its index of builder confidence hit the lowest level since January 1991.In a survey of more than 300 builders this month, the home builders association found that more and more are cutting prices and adding incentives like upgraded kitchen countertops and fireplaces to sell homes. Fifty-three percent of builders said they had cut prices in the last month, compared with 37 percent a year earlier. Forty-seven percent are paying financing fees and mortgage closing costs for buyers, compared with 38 percent a year earlier. The percentage of builders including upgrades at no additional charge to the buyer rose to 58 percent from 51 percent a year earlier.Because the Commerce Department numbers count home sales when the contract is signed between the homeowner and the builder, they do not capture cancellations. And many builders recently have reported high cancellation rates, suggesting that the July numbers may exaggerate how good the month was for builders.“Given the high rate of sales cancellations that home builders have experienced in recent months, it is difficult to get a line of sight to the net sales rates,” said Brian Bethune, an economist for Global Insight, in a research report.Outside the housing market, there were signs that July was a good month for American businesses. The Commerce Department said in a separate report yesterday that orders for durable goods — heavy duty items like airplanes, vehicles and computers — rose 5.9 percent in July, to $12.9 billion."
